Language_ID,Feature_ID,Value
Dotare,feature_0,0
Dotare,feature_1,1
Dotare,feature_2,2
Dotare,feature_3,3
Dotare,feature_4,4
Dotare,feature_5,5
Dotare,feature_6,6
Dotare,feature_7,7
Dotare,feature_8,8
Dotare,feature_9,9
Dotare,feature_10,10
Dotare,feature_11,11
Dotare,feature_12,495
Dotare,feature_13,13
Dotare,feature_14,496
Dotare,feature_15,15
Dotare,feature_16,100
Dotare,feature_17,17
Dotare,feature_18,668
Dotare,feature_19,19
Dotare,feature_20,20
Dotare,feature_21,21
Dotare,feature_22,22
Dotare,feature_23,990
Dotare,feature_24,497
Dotare,feature_25,669
Dotare,feature_26,26
Dotare,feature_27,27
Dotare,feature_28,670
Dotare,feature_29,991
Dotare,feature_30,992
Dotare,feature_31,161
Dotare,feature_32,673
Dotare,feature_33,33
Dotare,feature_34,34
Dotare,feature_35,35
Dotare,feature_36,36
Dotare,feature_37,37
Dotare,feature_38,38
Dotare,feature_39,39
Dotare,feature_40,40
Dotare,feature_41,41
Dotare,feature_42,42
Dotare,feature_43,1000
Dotare,feature_44,1001
Dotare,feature_45,45
Dotare,feature_46,46
Dotare,feature_47,1003
Dotare,feature_48,48
Dotare,feature_49,49
Dotare,feature_50,50
Dotare,feature_51,1007
Dotare,feature_52,52
Dotare,feature_53,53
Dotare,feature_54,54
Dotare,feature_55,55
Dotare,feature_56,56
Dotare,feature_57,57
Dotare,feature_58,58
Dotare,feature_59,59
Dotare,feature_60,60
Dotare,feature_61,1016
Dotare,feature_62,62
Dotare,feature_63,63
Dotare,feature_64,64
Dotare,feature_65,65
Dotare,feature_66,66
Dotare,feature_67,67
Dotare,feature_68,68
Dotare,feature_69,69
Dotare,feature_70,70
Dotare,feature_71,71
Dotare,feature_72,72
Dotare,feature_73,73
Dotare,feature_74,74
Dotare,feature_75,75
Dotare,feature_76,76
Dotare,feature_77,77
Dotare,feature_78,78
Dotare,feature_79,79
Dotare,feature_80,80
Dotare,feature_81,81
Dotare,feature_82,82
Dotare,feature_83,83
Dotare,feature_84,84
Dotare,feature_85,85
Dotare,feature_86,86
Dotare,feature_87,87
Dotare,feature_88,88
Dotare,feature_89,89
Dotare,feature_90,90
Dotare,feature_91,91
Dotare,feature_92,92
Dotare,feature_93,1044
Dotare,feature_94,94
Dotare,feature_95,95
Dotare,feature_96,96
Dotare,feature_97,97
Dotare,feature_98,98
Dotare,feature_99,99
Moffev,feature_0,0
Moffev,feature_1,1
Moffev,feature_2,2
Moffev,feature_3,3
Moffev,feature_4,4
Moffev,feature_5,5
Moffev,feature_6,6
Moffev,feature_7,7
Moffev,feature_8,8
Moffev,feature_9,9
Moffev,feature_10,10
Moffev,feature_11,11
Moffev,feature_12,495
Moffev,feature_13,13
Moffev,feature_14,496
Moffev,feature_15,15
Moffev,feature_16,100
Moffev,feature_17,17
Moffev,feature_18,1653
Moffev,feature_19,1654
Moffev,feature_20,20
Moffev,feature_21,1655
Moffev,feature_22,22
Moffev,feature_23,23
Moffev,feature_24,497
Moffev,feature_25,25
Moffev,feature_26,26
Moffev,feature_27,1656
Moffev,feature_28,1657
Moffev,feature_29,29
Moffev,feature_30,30
Moffev,feature_31,2482
Moffev,feature_32,32
Moffev,feature_33,33
Moffev,feature_34,104
Moffev,feature_35,1662
Moffev,feature_36,2483
Moffev,feature_37,37
Moffev,feature_38,38
Moffev,feature_39,39
Moffev,feature_40,2484
Moffev,feature_41,41
Moffev,feature_42,42
Moffev,feature_43,2486
Moffev,feature_44,44
Moffev,feature_45,45
Moffev,feature_46,2487
Moffev,feature_47,47
Moffev,feature_48,48
Moffev,feature_49,49
Moffev,feature_50,50
Moffev,feature_51,2489
Moffev,feature_52,52
Moffev,feature_53,53
Moffev,feature_54,2490
Moffev,feature_55,55
Moffev,feature_56,56
Moffev,feature_57,57
Moffev,feature_58,2492
Moffev,feature_59,59
Moffev,feature_60,60
Moffev,feature_61,61
Moffev,feature_62,62
Moffev,feature_63,63
Moffev,feature_64,2496
Moffev,feature_65,65
Moffev,feature_66,66
Moffev,feature_67,67
Moffev,feature_68,68
Moffev,feature_69,2500
Moffev,feature_70,70
Moffev,feature_71,2502
Moffev,feature_72,72
Moffev,feature_73,73
Moffev,feature_74,74
Moffev,feature_75,75
Moffev,feature_76,2507
Moffev,feature_77,77
Moffev,feature_78,78
Moffev,feature_79,79
Moffev,feature_80,80
Moffev,feature_81,81
Moffev,feature_82,82
Moffev,feature_83,83
Moffev,feature_84,84
Moffev,feature_85,85
Moffev,feature_86,86
Moffev,feature_87,87
Moffev,feature_88,88
Moffev,feature_89,89
Moffev,feature_90,90
Moffev,feature_91,91
Moffev,feature_92,92
Moffev,feature_93,93
Moffev,feature_94,94
Moffev,feature_95,95
Moffev,feature_96,96
Moffev,feature_97,97
Moffev,feature_98,98
Moffev,feature_99,99
Wikuo,feature_0,0
Wikuo,feature_1,1
Wikuo,feature_2,2
Wikuo,feature_3,3
Wikuo,feature_4,4
Wikuo,feature_5,5
Wikuo,feature_6,6
Wikuo,feature_7,7
Wikuo,feature_8,8
Wikuo,feature_9,9
Wikuo,feature_10,10
Wikuo,feature_11,11
Wikuo,feature_12,495
Wikuo,feature_13,13
Wikuo,feature_14,496
Wikuo,feature_15,15
Wikuo,feature_16,100
Wikuo,feature_17,17
Wikuo,feature_18,1653
Wikuo,feature_19,1654
Wikuo,feature_20,20
Wikuo,feature_21,21
Wikuo,feature_22,22
Wikuo,feature_23,23
Wikuo,feature_24,497
Wikuo,feature_25,25
Wikuo,feature_26,26
Wikuo,feature_27,2387
Wikuo,feature_28,1657
Wikuo,feature_29,29
Wikuo,feature_30,30
Wikuo,feature_31,31
Wikuo,feature_32,32
Wikuo,feature_33,33
Wikuo,feature_34,2388
Wikuo,feature_35,2389
Wikuo,feature_36,36
Wikuo,feature_37,2390
Wikuo,feature_38,1665
Wikuo,feature_39,2391
Wikuo,feature_40,2392
Wikuo,feature_41,41
Wikuo,feature_42,42
Wikuo,feature_43,43
Wikuo,feature_44,2393
Wikuo,feature_45,2394
Wikuo,feature_46,46
Wikuo,feature_47,47
Wikuo,feature_48,48
Wikuo,feature_49,2395
Wikuo,feature_50,50
Wikuo,feature_51,51
Wikuo,feature_52,52
Wikuo,feature_53,53
Wikuo,feature_54,2398
Wikuo,feature_55,2399
Wikuo,feature_56,56
Wikuo,feature_57,1682
Wikuo,feature_58,58
Wikuo,feature_59,59
Wikuo,feature_60,60
